,column,na_values
0,qta_giorni_ultimo_contatto_inbound,4555554
1,qta_giorni_ultimo_contatto_outbound,3924479
2,qta_giorni_ultimo_reclamo,4974788
3,qta_days_since_last_inbound_contact,2040437
4,qta_days_since_last_inbound_contact_channel_APP,5229265
5,qta_days_since_last_inbound_contact_channel_FACE,4342147
6,qta_days_since_last_inbound_contact_channel_TELEFONICO,2849874
7,qta_days_since_last_inbound_contact_channel_DOCUMENTALE_COMPLESSO,5074931
8,qta_days_since_last_inbound_contact_channel_DOCUMENTALE,3856243
9,qta_days_since_last_inbound_contact_channel_CHAT,4996891
10,qta_days_since_last_inbound_contact_channel_WEB,4840412
11,qta_days_since_last_inbound_contact_microcausale_RETTIFICHE_CONSUMI_FATTURAZIONE,5065328
12,qta_days_since_last_inbound_contact_microcausale_INFORMATIVA,4739347
13,qta_days_since_last_inbound_contact_microcausale_VOLTURA,5002544
14,qta_days_since_last_inbound_contact_microcausale_PRIMA_ATTIVAZIONE,5208465
15,qta_days_since_last_inbound_contact_microcausale_COPIA_DOCUMENTAZIONI,4426811
16,qta_days_since_last_inbound_contact_microcausale_RIMBORSO_COMPENSAZIONE,5198031
17,qta_days_since_last_inbound_contact_microcausale_LAVORI_E_MODIFICHE_TECNICHE_POTENZA_TENSIONE,4969160
18,qta_days_since_last_inbound_contact_microcausale_INFORMATIVA_CREDITO,4757819
19,qta_days_since_last_inbound_contact_microcausale_DISTACCHI_RIALLACCI,4940717
20,qta_days_since_last_inbound_contact_microcausale_DISDETTE_E_CESSAZIONI,5121774
21,qta_days_since_last_inbound_contact_microcausale_GESTIONE_VAS,4521545
22,qta_days_since_last_inbound_contact_microcausale_AUTOLETTURA,4995612
23,qta_days_since_last_inbound_contact_microcausale_RIPENSAMENTO_O_DISCONOSCIMENTO,5255129
24,qta_days_since_last_inbound_contact_microcausale_GESTIONE_FORNITURA,4331574
25,qta_days_since_last_inbound_contact_microcausale_MODIFICA_ANAGRAFICA_O_DATI_FORNITURA_FATTURAZIONE,4408631
26,qta_days_since_last_inbound_contact_microcausale_RECLAMI_SCRITTI,5262231
27,qta_days_since_last_inbound_contact_microcausale_REPEATED_LIST,5229153
28,qta_days_since_last_inbound_contact_microcausale_INFORMATIVA_CONSUMI_PAGAMENTI,4831176
29,qta_days_since_last_inbound_contact_microcausale_SWITCH_ATTIVO,4941662
30,qta_days_since_last_inbound_contact_microcausale_MODALITA_DI_PAGAMENTO,5131282
31,qta_days_since_last_inbound_contact_microcausale_ALLACCIO_E_ATTIVAZIONE,5001437
32,qta_days_since_last_inbound_contact_microcausale_VERIFICHE_TECNICHE,5221913
33,qta_days_since_last_inbound_contact_microcausale_INFORMATIVA_NON_DI_COMPETENZA,5145596
34,qta_days_since_last_inbound_contact_microcausale_GESTIONE_PRIVACY,5226800
35,qta_days_since_last_inbound_contact_microcausale_RVC,5192293
36,qta_days_since_last_inbound_contact_microcausale_PIANO_DI_RIENTRO,4521418
37,qta_days_since_last_inbound_contact_microcausale_SUBENTRO,4587356
38,qta_days_since_last_inbound_contact_macrocausale_Causale_non_definita,3468369
39,qta_days_since_last_inbound_contact_macrocausale_Chiarimenti_su_fatture,3852458
40,qta_days_since_last_inbound_contact_macrocausale_Chiarimento_su_offerta,4644066
41,qta_days_since_last_inbound_contact_macrocausale_Credito,3973651
42,qta_days_since_last_inbound_contact_macrocausale_Esecuzione_lavori,4931424
43,qta_days_since_last_inbound_contact_macrocausale_Informativa,4663872
44,qta_days_since_last_inbound_contact_macrocausale_Problemi_in_fase_di_attivazione,4917085
45,qta_days_since_last_inbound_contact_macrocausale_Reclami_vendita_Privacy,5203251
46,qta_days_since_last_inbound_contact_macrocausale_Ritardata_esecuzione_subentri_volture_cessazioni_etc,3307885
47,qta_days_last_response_marketing_cli,407602
48,qta_days_diff_diffida_fattura_cli,4142922
49,qta_days_last_diffida_cli,4021018
50,qta_days_diff_sollecito_fattura_cli,4173541
51,qta_days_last_sollecito_cli,4038934
52,qta_days_servizio_attualmente_distaccato,5209204
53,qta_days_servizio_riallacciato,5186148
54,qta_days_emissione_fattura_pagamento_servizio_ultima_bolletta_emessa_canale_ALL,951172
55,qta_days_incasso_fattura_today_servizio_ultima_bolletta_emessa_canale_ALL,951172
56,qta_days_scadenza_fattura_pagamento_servizio_ultima_bolletta_emessa_canale_ALL,951172
